09-22-23_04-12-13-246 - Logging Started
04-16-24-601 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[6] Targ:[11] Bloc:[68] Aim:[27] CCast:[6] RndCast[12] TopCast[0]
04-16-27-865 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[22] Targ:[37] Bloc:[204] Aim:[81] CCast:[18] RndCast[36] TopCast[0]
04-16-31-031 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[204] Aim:[81] CCast:[18] RndCast[36] TopCast[0]
04-16-34-030 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[215] Aim:[230] CCast:[58] RndCast[145] TopCast[0]
04-16-37-030 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[158] Aim:[173] CCast:[32] RndCast[110] TopCast[0]
04-16-40-202 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[80] Aim:[95] CCast:[2] RndCast[67] TopCast[0]
04-16-43-201 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[10] Aim:[29] CCast:[1] RndCast[3] TopCast[0]
04-16-46-850 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[8] Aim:[27] CCast:[1] RndCast[3] TopCast[0]
04-16-49-851 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[12] Aim:[34] CCast:[1] RndCast[7] TopCast[0]
04-16-53-015 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[9] Aim:[29] CCast:[1] RndCast[3] TopCast[0]
04-16-56-017 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[8] Aim:[31] CCast:[1] RndCast[3] TopCast[0]
04-16-59-017 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[9] Aim:[30] CCast:[1] RndCast[3] TopCast[0]
04-17-02-178 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[13] Aim:[34] CCast:[1] RndCast[7] TopCast[0]
04-17-05-178 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[21] Aim:[39] CCast:[2] RndCast[10] TopCast[0]
04-17-08-346 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[20] Aim:[36] CCast:[4] RndCast[5] TopCast[0]
04-17-11-498 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[36] Bloc:[36] Aim:[43] CCast:[3] RndCast[8] TopCast[0]
04-17-14-496 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[36] Bloc:[11] Aim:[28] CCast:[1] RndCast[1] TopCast[0]
04-17-18-165 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[69] Aim:[87] CCast:[1] RndCast[58] TopCast[0]
04-17-21-166 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[28] Aim:[47] CCast:[5] RndCast[9] TopCast[0]
04-17-24-344 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[33] Bloc:[19] Aim:[33] CCast:[2] RndCast[8] TopCast[0]
04-17-27-329 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[36] Bloc:[13] Aim:[32] CCast:[2] RndCast[4] TopCast[0]
04-17-30-492 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[15] Aim:[34] CCast:[2] RndCast[4] TopCast[0]
04-17-33-491 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[36] Bloc:[36] Aim:[48] CCast:[15] RndCast[0] TopCast[0]
04-17-36-490 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[14] Aim:[35] CCast:[1] RndCast[7] TopCast[0]
04-17-39-655 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[12] Aim:[31] CCast:[1] RndCast[3] TopCast[0]
04-17-42-654 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[33] Bloc:[18] Aim:[30] CCast:[2] RndCast[6] TopCast[0]
04-17-45-654 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[65] Aim:[88] CCast:[0] RndCast[61] TopCast[0]
04-17-49-295 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[13] Aim:[34] CCast:[2] RndCast[6] TopCast[0]
04-17-52-453 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[8] Aim:[30] CCast:[0] RndCast[4] TopCast[0]
04-17-55-454 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[15] Aim:[34] CCast:[2] RndCast[6] TopCast[0]
04-17-58-454 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[3] Aim:[27] CCast:[0] RndCast[0] TopCast[0]
04-18-01-618 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[34] Bloc:[13] Aim:[30] CCast:[2] RndCast[6] TopCast[0]
04-18-04-617 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[5] Aim:[26] CCast:[0] RndCast[0] TopCast[0]
04-18-07-618 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[74] Aim:[96] CCast:[2] RndCast[67] TopCast[0]
04-18-10-787 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[5] Aim:[26] CCast:[0] RndCast[0] TopCast[0]
04-18-13-790 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[15] Aim:[35] CCast:[2] RndCast[6] TopCast[0]
04-18-16-946 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[7] Aim:[31] CCast:[0] RndCast[4] TopCast[0]
04-18-20-431 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[34] Bloc:[71] Aim:[87] CCast:[2] RndCast[63] TopCast[0]
04-18-23-594 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[8] Aim:[30] CCast:[0] RndCast[4] TopCast[0]
04-18-26-597 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[14] Aim:[35] CCast:[2] RndCast[6] TopCast[0]
04-18-29-595 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[8] Aim:[31] CCast:[1] RndCast[3] TopCast[0]
04-18-32-796 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[14] Aim:[34] CCast:[1] RndCast[7] TopCast[0]
04-18-35-798 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[66] Aim:[88] CCast:[1] RndCast[60] TopCast[0]
04-18-38-958 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[12] Aim:[31] CCast:[1] RndCast[7] TopCast[0]
04-18-41-958 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[8] Aim:[31] CCast:[1] RndCast[3] TopCast[0]
04-18-44-958 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[36] Bloc:[13] Aim:[30] CCast:[1] RndCast[3] TopCast[0]
04-18-48-120 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[17] Aim:[34] CCast:[1] RndCast[5] TopCast[0]
04-18-51-595 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[103] Aim:[112] CCast:[17] RndCast[60] TopCast[0]
