09-22-23_03-05-53-916 - Logging Started
03-08-41-307 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[6] Targ:[11] Bloc:[68] Aim:[27] CCast:[6] RndCast[12] TopCast[0]
03-08-44-298 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[18] Targ:[33] Bloc:[204] Aim:[81] CCast:[18] RndCast[36] TopCast[0]
03-08-47-480 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[18] Targ:[33] Bloc:[311] Aim:[234] CCast:[64] RndCast[143] TopCast[0]
03-08-50-479 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[199] Aim:[210] CCast:[55] RndCast[128] TopCast[0]
03-08-53-644 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[34] Bloc:[142] Aim:[152] CCast:[55] RndCast[71] TopCast[0]
03-08-56-645 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[101] Aim:[114] CCast:[32] RndCast[49] TopCast[0]
03-08-59-817 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[89] Aim:[108] CCast:[4] RndCast[69] TopCast[0]
03-09-03-279 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[77] Aim:[95] CCast:[2] RndCast[63] TopCast[0]
03-09-06-538 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[68] Aim:[88] CCast:[1] RndCast[60] TopCast[0]
03-09-09-543 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[32] Bloc:[15] Aim:[28] CCast:[2] RndCast[6] TopCast[0]
03-09-12-699 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[16] Aim:[31] CCast:[2] RndCast[6] TopCast[0]
03-09-15-700 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[72] Aim:[92] CCast:[28] RndCast[37] TopCast[0]
03-09-18-860 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[72] Aim:[91] CCast:[2] RndCast[63] TopCast[0]
03-09-21-859 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[8] Aim:[29] CCast:[1] RndCast[3] TopCast[0]
03-09-24-859 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[130] Aim:[149] CCast:[28] RndCast[92] TopCast[0]
03-09-28-019 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[8] Aim:[27] CCast:[1] RndCast[3] TopCast[0]
03-09-31-020 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[33] Bloc:[17] Aim:[33] CCast:[2] RndCast[8] TopCast[0]
03-09-34-668 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[9] Aim:[31] CCast:[1] RndCast[3] TopCast[0]
03-09-37-668 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[73] Aim:[91] CCast:[2] RndCast[61] TopCast[0]
03-09-40-841 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[10] Aim:[29] CCast:[1] RndCast[3] TopCast[0]
03-09-43-827 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[73] Aim:[92] CCast:[2] RndCast[61] TopCast[0]
03-09-46-989 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[8] Aim:[27] CCast:[1] RndCast[3] TopCast[0]
03-09-49-988 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[17] Aim:[37] CCast:[2] RndCast[8] TopCast[0]
03-09-52-988 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[36] Bloc:[10] Aim:[28] CCast:[1] RndCast[3] TopCast[0]
03-09-56-148 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[16] Aim:[35] CCast:[1] RndCast[7] TopCast[0]
03-09-59-148 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[68] Aim:[83] CCast:[0] RndCast[57] TopCast[0]
03-10-02-309 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[37] Bloc:[17] Aim:[35] CCast:[2] RndCast[6] TopCast[0]
03-10-05-791 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[34] Bloc:[74] Aim:[88] CCast:[2] RndCast[63] TopCast[0]
