09-22-23_03-22-10-710 - Logging Started
03-24-55-729 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[6] Targ:[11] Bloc:[68] Aim:[27] CCast:[6] RndCast[12] TopCast[0]
03-24-58-880 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[18] Targ:[33] Bloc:[204] Aim:[81] CCast:[18] RndCast[36] TopCast[0]
03-25-02-048 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[204] Aim:[81] CCast:[18] RndCast[36] TopCast[0]
03-25-05-046 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[31] Bloc:[183] Aim:[190] CCast:[52] RndCast[119] TopCast[0]
03-25-08-217 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[31] Bloc:[183] Aim:[190] CCast:[52] RndCast[119] TopCast[0]
03-25-11-219 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[301] Aim:[312] CCast:[104] RndCast[183] TopCast[0]
03-25-14-387 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[248] Aim:[259] CCast:[79] RndCast[155] TopCast[0]
03-25-17-848 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[15] Aim:[31] CCast:[2] RndCast[6] TopCast[0]
03-25-21-109 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[31] Bloc:[8] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
03-25-24-107 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[31] Bloc:[17] Aim:[27] CCast:[1] RndCast[5] TopCast[0]
03-25-27-270 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[31] Bloc:[9] Aim:[19] CCast:[0] RndCast[0] TopCast[0]
03-25-30-270 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[69] Aim:[84] CCast:[26] RndCast[33] TopCast[0]
03-25-33-270 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[34] Bloc:[8] Aim:[22] CCast:[0] RndCast[0] TopCast[0]
03-25-36-433 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[31] Bloc:[65] Aim:[76] CCast:[26] RndCast[31] TopCast[0]
03-25-39-433 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[15] Aim:[31] CCast:[2] RndCast[6] TopCast[0]
03-25-42-433 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[31] Bloc:[17] Aim:[27] CCast:[1] RndCast[7] TopCast[0]
03-25-45-593 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[31] Bloc:[12] Aim:[23] CCast:[1] RndCast[3] TopCast[0]
03-25-49-212 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[9] Aim:[23] CCast:[0] RndCast[0] TopCast[0]
03-25-52-212 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[28] Bloc:[12] Aim:[16] CCast:[0] RndCast[0] TopCast[0]
03-25-55-227 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[35] Bloc:[24] Aim:[39] CCast:[3] RndCast[13] TopCast[0]
