09-22-23_02-38-24-686 - Logging Started
02-41-16-258 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[6] Targ:[11] Bloc:[68] Aim:[27] CCast:[6] RndCast[12] TopCast[0]
02-41-19-202 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[18] Targ:[33] Bloc:[204] Aim:[81] CCast:[18] RndCast[36] TopCast[0]
02-41-22-382 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[18] Targ:[33] Bloc:[311] Aim:[234] CCast:[64] RndCast[143] TopCast[0]
02-41-25-381 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[370] Aim:[385] CCast:[107] RndCast[247] TopCast[0]
02-41-28-547 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[370] Aim:[385] CCast:[107] RndCast[247] TopCast[0]
02-41-31-547 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[207] Aim:[222] CCast:[58] RndCast[137] TopCast[0]
02-41-34-706 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[14] Aim:[35] CCast:[2] RndCast[6] TopCast[0]
02-41-38-189 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[12] Aim:[31] CCast:[1] RndCast[3] TopCast[0]
02-41-41-446 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[130] Aim:[149] CCast:[28] RndCast[94] TopCast[0]
02-41-44-446 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[67] Aim:[88] CCast:[27] RndCast[34] TopCast[0]
02-41-47-604 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[77] Aim:[96] CCast:[29] RndCast[40] TopCast[0]
02-41-50-604 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[71] Aim:[92] CCast:[2] RndCast[63] TopCast[0]
02-41-53-762 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[15] Aim:[35] CCast:[1] RndCast[3] TopCast[0]
02-41-56-762 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[81] Aim:[100] CCast:[29] RndCast[42] TopCast[0]
02-41-59-764 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[60] Aim:[84] CCast:[26] RndCast[31] TopCast[0]
02-42-02-924 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[38] Aim:[58] CCast:[18] RndCast[11] TopCast[0]
02-42-05-922 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[38] Bloc:[20] Aim:[42] CCast:[12] RndCast[0] TopCast[0]
02-42-09-538 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[72] Aim:[92] CCast:[2] RndCast[63] TopCast[0]
02-42-12-538 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[69] Aim:[92] CCast:[27] RndCast[38] TopCast[0]
02-42-15-712 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[16] Aim:[35] CCast:[2] RndCast[6] TopCast[0]
02-42-18-697 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[61] Aim:[84] CCast:[0] RndCast[57] TopCast[0]
02-42-21-857 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[13] Aim:[35] CCast:[2] RndCast[6] TopCast[0]
02-42-24-857 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[61] Aim:[84] CCast:[0] RndCast[57] TopCast[0]
02-42-27-858 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[77] Aim:[96] CCast:[28] RndCast[39] TopCast[0]
02-42-31-017 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[65] Aim:[88] CCast:[27] RndCast[34] TopCast[0]
02-42-34-017 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[120] Aim:[141] CCast:[26] RndCast[88] TopCast[0]
02-42-37-174 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[66] Aim:[88] CCast:[27] RndCast[34] TopCast[0]
02-42-40-670 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[66] Aim:[88] CCast:[1] RndCast[60] TopCast[0]
02-42-43-833 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[131] Aim:[153] CCast:[54] RndCast[68] TopCast[0]
02-42-46-833 - (STATS) -------- AIs:[9] - WcBlocks:[27] - AiReq:[24] Targ:[39] Bloc:[75] Aim:[96] CCast:[2] RndCast[63] TopCast[0]
